text,target,TOKENIZATION,STOP_REMOVAL,tweet_normalized,tweet_tokens_stemmed,liststring
SAMBO anjing,negatif,"['sambo', 'anjing']",['anjing'],['anjing'],['anjing'],anjing
"Habis nonton sidang hari ini jijik bgt sama polri asli busuk bgt  bayangkan seorang polisi tidak tahu mana yg tugasnya mana yg bukan, walaupun masuk modal jual sawah minimal otaknya jalan lah!!",negatif,"['habis', 'nonton', 'sidang', 'hari', 'ini', 'jijik', 'bgt', 'sama', 'polri', 'asli', 'busuk', 'bgt', 'bayangkan', 'seorang', 'polisi', 'tidak', 'tahu', 'mana', 'yg', 'tugasnya', 'mana', 'yg', 'bukan', 'walaupun', 'masuk', 'modal', 'jual', 'sawah', 'minimal', 'otaknya', 'jalan', 'lah', '']","['habis', 'nonton', 'sidang', 'jijik', 'bgt', 'polri', 'asli', 'busuk', 'bgt', 'bayangkan', 'tugasnya', 'masuk', 'modal', 'jual', 'sawah', 'minimal', 'otaknya', 'jalan', '']","['habis', 'nonton', 'sidang', 'jijik', 'bgt', 'polri', 'asli', 'busuk', 'bgt', 'bayangkan', 'tugasnya', 'masuk', 'modal', 'jual', 'sawah', 'minimal', 'otaknya', 'jalan', '']","['habis', 'nonton', 'sidang', 'jijik', 'bgt', 'polri', 'asli', 'busuk', 'bgt', 'bayang', 'tugas', 'masuk', 'modal', 'jual', 'sawah', 'minimal', 'otak', 'jalan', '']",habis nonton sidang jijik bgt polri asli busuk bgt bayang tugas masuk modal jual sawah minimal otak jalan
"Jenderal TAI !!!!
Pengecut bangsat!!
Mati aja loe Sambo!!!!!",negatif,"['jenderal', 'tai', 'pengecut', 'bangsat', 'mati', 'aja', 'loe', 'sambo', '']","['jenderal', 'tai', 'pengecut', 'bangsat', 'mati', 'loe', '']","['jenderal', 'tai', 'pengecut', 'bangsat', 'mati', 'loe', '']","['jenderal', 'tai', 'kecut', 'bangsat', 'mati', 'loe', '']",jenderal tai kecut bangsat mati loe
Sinetron Sambo belum jg tamat,negatif,"['sinetron', 'sambo', 'belum', 'jg', 'tamat']","['sinetron', 'tamat']","['sinetron', 'tamat']","['sinetron', 'tamat']",sinetron tamat
pusing bgt emak gue kalau tiap diem pasti nyuruh nyalain tv trus liat sidang sambo,negatif,"['pusing', 'bgt', 'emak', 'gue', 'kalau', 'tiap', 'diem', 'pasti', 'nyuruh', 'nyalain', 'tv', 'trus', 'liat', 'sidang', 'sambo']","['pusing', 'bgt', 'emak', 'gue', 'diem', 'nyuruh', 'nyalain', 'tv', 'trus', 'liat', 'sidang']","['pusing', 'bgt', 'emak', 'gue', 'diem', 'nyuruh', 'nyalain', 'tv', 'trus', 'liat', 'sidang']","['pusing', 'bgt', 'emak', 'gue', 'diem', 'nyuruh', 'nyalain', 'tv', 'trus', 'liat', 'sidang']",pusing bgt emak gue diem nyuruh nyalain tv trus liat sidang
sambo mau dipenjara jg ttp kaya,negatif,"['sambo', 'mau', 'dipenjara', 'jg', 'ttp', 'kaya']","['dipenjara', 'ttp', 'kaya']","['dipenjara', 'ttp', 'kaya']","['penjara', 'ttp', 'kaya']",penjara ttp kaya
"Udah mulai bosan dan muak sama drama putri sambo ini...
Mending nonton nanti aja pas sidang vonis....  moga kena seumur hidup supaya kalo banding sampe MA cuma dapet diskon jadi 20 tahun... dan si Yasomplak tukang jualan ""bebas bersyarat"" udah dipecat.... https://t.co/hFveBNTLxr",negatif,"['udah', 'mulai', 'bosan', 'dan', 'muak', 'sama', 'drama', 'putri', 'sambo', 'ini', 'mending', 'nonton', 'nanti', 'aja', 'pas', 'sidang', 'vonis', 'moga', 'kena', 'seumur', 'hidup', 'supaya', 'kalo', 'banding', 'sampe', 'ma', 'cuma', 'dapet', 'diskon', 'jadi', '20', 'tahun', 'dan', 'si', 'yasomplak', 'tukang', 'jualan', 'bebas', 'bersyarat', 'udah', 'dipecat', 'https', 't', 'co', 'hfvebntlxr']","['udah', 'bosan', 'muak', 'drama', 'mending', 'nonton', 'pas', 'sidang', 'vonis', 'moga', 'kena', 'seumur', 'hidup', 'banding', 'sampe', 'ma', 'dapet', 'diskon', '20', 'yasomplak', 'tukang', 'jualan', 'bebas', 'bersyarat', 'udah', 'dipecat', 'https', 't', 'co', 'hfvebntlxr']","['udah', 'bosan', 'muak', 'drama', 'mending', 'nonton', 'pas', 'sidang', 'vonis', 'moga', 'kena', 'seumur', 'hidup', 'banding', 'sampe', 'ma', 'dapet', 'diskon', '20', 'yasomplak', 'tukang', 'jualan', 'bebas', 'bersyarat', 'udah', 'dipecat', 'https', 't', 'co', 'hfvebntlxr']","['udah', 'bosan', 'muak', 'drama', 'mending', 'nonton', 'pas', 'sidang', 'vonis', 'moga', 'kena', 'umur', 'hidup', 'banding', 'sampe', 'ma', 'dapet', 'diskon', '20', 'yasomplak', 'tukang', 'jual', 'bebas', 'syarat', 'udah', 'pecat', 'https', 't', 'co', 'hfvebntlxr']",udah bosan muak drama mending nonton pas sidang vonis moga kena umur hidup banding sampe ma dapet diskon 20 yasomplak tukang jual bebas syarat udah pecat https t co hfvebntlxr
" capek liat sidang sambo
Bu PC halunya kelewat pinter",negatif,"['', 'capek', 'liat', 'sidang', 'sambo', 'bu', 'pc', 'halunya', 'kelewat', 'pinter']","['', 'capek', 'liat', 'sidang', 'bu', 'pc', 'halunya', 'kelewat', 'pinter']","['', 'capek', 'liat', 'sidang', 'bu', 'pc', 'halunya', 'kelewat', 'pinter']","['', 'capek', 'liat', 'sidang', 'bu', 'pc', 'halunya', 'lewat', 'pinter']",capek liat sidang bu pc halunya lewat pinter
Tinggal nunggu kena laknat aja ini sambo dan putri,negatif,"['tinggal', 'nunggu', 'kena', 'laknat', 'aja', 'ini', 'sambo', 'dan', 'putri']","['tinggal', 'nunggu', 'kena', 'laknat']","['tinggal', 'nunggu', 'kena', 'laknat']","['tinggal', 'nunggu', 'kena', 'laknat']",tinggal nunggu kena laknat
Mukanya kek kontol wkwkwk,negatif,"['mukanya', 'kek', 'kontol', 'wkwkwk']","['mukanya', 'kek', 'kontol', 'wkwkwk']","['mukanya', 'kek', 'kontol', 'wkwkwk']","['muka', 'kek', 'kontol', 'wkwkwk']",muka kek kontol wkwkwk
"Kok polisi ya njir, niatnya polusi tapi yaudah lah ya. Ga nyangka lo demen meluk sambo",negatif,"['kok', 'polisi', 'ya', 'njir', 'niatnya', 'polusi', 'tapi', 'yaudah', 'lah', 'ya', 'ga', 'nyangka', 'lo', 'demen', 'meluk', 'sambo']","['njir', 'niatnya', 'polusi', 'yaudah', 'ga', 'nyangka', 'demen', 'meluk']","['njir', 'niatnya', 'polusi', 'yaudah', 'ga', 'nyangka', 'demen', 'meluk']","['njir', 'niat', 'polusi', 'yaudah', 'ga', 'nyangka', 'demen', 'luk']",njir niat polusi yaudah ga nyangka demen luk
Mak gw ditelpon sambo,positif,"['mak', 'gw', 'ditelpon', 'sambo']","['mak', 'ditelpon']","['mak', 'ditelpon']","['mak', 'telpon']",mak telpon
Dasar Kadrun nih yg bela Sambo,negatif,"['dasar', 'kadrun', 'nih', 'yg', 'bela', 'sambo']","['dasar', 'kadrun', 'nih', 'bela']","['dasar', 'kadrun', 'nih', 'bela']","['dasar', 'kadrun', 'nih', 'bela']",dasar kadrun nih bela
"Dari rekam jejaknya sambo dulu waktu masih aktif saja sudah bisa dilihat kalau dia punya bakat bohong. Jadi sekarang karena sudah terlanjur basah jadi pesakitan, buat apa percaya pada setiap perkataan yg terucap dari mulutnya?",negatif,"['dari', 'rekam', 'jejaknya', 'sambo', 'dulu', 'waktu', 'masih', 'aktif', 'saja', 'sudah', 'bisa', 'dilihat', 'kalau', 'dia', 'punya', 'bakat', 'bohong', 'jadi', 'sekarang', 'karena', 'sudah', 'terlanjur', 'basah', 'jadi', 'pesakitan', 'buat', 'apa', 'percaya', 'pada', 'setiap', 'perkataan', 'yg', 'terucap', 'dari', 'mulutnya', '']","['rekam', 'jejaknya', 'aktif', 'bakat', 'bohong', 'terlanjur', 'basah', 'pesakitan', 'percaya', 'perkataan', 'terucap', 'mulutnya', '']","['rekam', 'jejaknya', 'aktif', 'bakat', 'bohong', 'terlanjur', 'basah', 'pesakitan', 'percaya', 'perkataan', 'terucap', 'mulutnya', '']","['rekam', 'jejak', 'aktif', 'bakat', 'bohong', 'lanjur', 'basah', 'sakit', 'percaya', 'kata', 'ucap', 'mulut', '']",rekam jejak aktif bakat bohong lanjur basah sakit percaya kata ucap mulut
"Giliran kasus pc sama sambo, pada bilang ""kenapa ga visum, kenapa gak lapor polisi""
 Giliran yang begini main langsung percaya sama korban terus bilang ""tib2 hukum banget""
 Tai lo ah.",negatif,"['giliran', 'kasus', 'pc', 'sama', 'sambo', 'pada', 'bilang', 'kenapa', 'ga', 'visum', 'kenapa', 'gak', 'lapor', 'polisi', 'giliran', 'yang', 'begini', 'main', 'langsung', 'percaya', 'sama', 'korban', 'terus', 'bilang', 'tib2', 'hukum', 'banget', 'tai', 'lo', 'ah', '']","['giliran', 'pc', 'bilang', 'ga', 'visum', 'gak', 'lapor', 'giliran', 'main', 'langsung', 'percaya', 'korban', 'bilang', 'tib2', 'hukum', 'tai', 'ah', '']","['giliran', 'pc', 'bilang', 'ga', 'visum', 'gak', 'lapor', 'giliran', 'main', 'langsung', 'percaya', 'korban', 'bilang', 'tib2', 'hukum', 'tai', 'ah', '']","['gilir', 'pc', 'bilang', 'ga', 'visum', 'gak', 'lapor', 'gilir', 'main', 'langsung', 'percaya', 'korban', 'bilang', 'tib2', 'hukum', 'tai', 'ah', '']",gilir pc bilang ga visum gak lapor gilir main langsung percaya korban bilang tib2 hukum tai ah
"Krn sambo jg pegang kartu para petinggi polri yg lain,kalo dia sampai dijerat maka dia akan bongkar semua. Udah ada kejadian soal tambang ilegal,sblm ada kasus ini trnyata geng sambo udah gerilya utk memetakan siapa2 yg bermain,jd tinggal d buka ketika ada kasus..",negatif,"['krn', 'sambo', 'jg', 'pegang', 'kartu', 'para', 'petinggi', 'polri', 'yg', 'lain', 'kalo', 'dia', 'sampai', 'dijerat', 'maka', 'dia', 'akan', 'bongkar', 'semua', 'udah', 'ada', 'kejadian', 'soal', 'tambang', 'ilegal', 'sblm', 'ada', 'kasus', 'ini', 'trnyata', 'geng', 'sambo', 'udah', 'gerilya', 'utk', 'memetakan', 'siapa2', 'yg', 'bermain', 'jd', 'tinggal', 'd', 'buka', 'ketika', 'ada', 'kasus', '']","['krn', 'pegang', 'kartu', 'petinggi', 'polri', 'dijerat', 'bongkar', 'udah', 'kejadian', 'tambang', 'ilegal', 'sblm', 'trnyata', 'geng', 'udah', 'gerilya', 'utk', 'memetakan', 'siapa2', 'bermain', 'tinggal', 'd', 'buka', '']","['krn', 'pegang', 'kartu', 'petinggi', 'polri', 'dijerat', 'bongkar', 'udah', 'kejadian', 'tambang', 'ilegal', 'sblm', 'trnyata', 'geng', 'udah', 'gerilya', 'utk', 'memetakan', 'siapa2', 'bermain', 'tinggal', 'd', 'buka', '']","['krn', 'pegang', 'kartu', 'petinggi', 'polri', 'jerat', 'bongkar', 'udah', 'jadi', 'tambang', 'ilegal', 'sblm', 'trnyata', 'geng', 'udah', 'gerilya', 'utk', 'meta', 'siapa2', 'main', 'tinggal', 'd', 'buka', '']",krn pegang kartu petinggi polri jerat bongkar udah jadi tambang ilegal sblm trnyata geng udah gerilya utk meta siapa2 main tinggal d buka
Karna dpt jatah uang yg mengiurkan dari pengacara sambo,negatif,"['karna', 'dpt', 'jatah', 'uang', 'yg', 'mengiurkan', 'dari', 'pengacara', 'sambo']","['karna', 'dpt', 'jatah', 'uang', 'mengiurkan', 'pengacara']","['karna', 'dpt', 'jatah', 'uang', 'mengiurkan', 'pengacara']","['karna', 'dpt', 'jatah', 'uang', 'iur', 'acara']",karna dpt jatah uang iur acara
Wong diperkosa uenak..makanya bs makan dulu..br ngadu ke sambo,negatif,"['wong', 'diperkosa', 'uenak', 'makanya', 'bs', 'makan', 'dulu', 'br', 'ngadu', 'ke', 'sambo']","['diperkosa', 'uenak', 'bs', 'makan', 'br', 'ngadu']","['diperkosa', 'uenak', 'bs', 'makan', 'br', 'ngadu']","['perkosa', 'uenak', 'bs', 'makan', 'br', 'ngadu']",perkosa uenak bs makan br ngadu
Jadi mantunya Sambo aja,negatif,"['jadi', 'mantunya', 'sambo', 'aja']",['mantunya'],['mantunya'],['mantu'],mantu
"Lie detector ricki tdk bohong artinya sambo tdk ikut tembak alm. 
 
Salah Bkn tdk nembaknya..tp tdk liat saat sambo tembak jgn diplintir..
jgn ketipu.",positif,"['lie', 'detector', 'ricki', 'tdk', 'bohong', 'artinya', 'sambo', 'tdk', 'ikut', 'tembak', 'alm', 'salah', 'bkn', 'tdk', 'nembaknya', 'tp', 'tdk', 'liat', 'saat', 'sambo', 'tembak', 'jgn', 'diplintir', 'jgn', 'ketipu', '']","['lie', 'detector', 'ricki', 'tdk', 'bohong', 'tdk', 'tembak', 'alm', 'salah', 'bkn', 'tdk', 'nembaknya', 'tp', 'tdk', 'liat', 'tembak', 'jgn', 'diplintir', 'jgn', 'ketipu', '']","['lie', 'detector', 'ricki', 'tdk', 'bohong', 'tdk', 'tembak', 'alm', 'salah', 'bkn', 'tdk', 'nembaknya', 'tp', 'tdk', 'liat', 'tembak', 'jgn', 'diplintir', 'jgn', 'ketipu', '']","['lie', 'detector', 'ricki', 'tdk', 'bohong', 'tdk', 'tembak', 'alm', 'salah', 'bkn', 'tdk', 'nembaknya', 'tp', 'tdk', 'liat', 'tembak', 'jgn', 'diplintir', 'jgn', 'tipu', '']",lie detector ricki tdk bohong tdk tembak alm salah bkn tdk nembaknya tp tdk liat tembak jgn diplintir jgn tipu
"di glok 17 hanya ada DNA Bharada e.sama Agus.susanto tapi aneh di senjata hs hanya ada DNA brigadir j..jelas2 Sambo bilang dia nembak ke dinding pakai senjata hs..ini menunjukan Sambo pakai sarung tangan
Kebenaran akan tetap ada
brigadir j
Bharada e",positif,"['di', 'glok', '17', 'hanya', 'ada', 'dna', 'bharada', 'e', 'sama', 'agus', 'susanto', 'tapi', 'aneh', 'di', 'senjata', 'hs', 'hanya', 'ada', 'dna', 'brigadir', 'j', 'jelas2', 'sambo', 'bilang', 'dia', 'nembak', 'ke', 'dinding', 'pakai', 'senjata', 'hs', 'ini', 'menunjukan', 'sambo', 'pakai', 'sarung', 'tangan', 'kebenaran', 'akan', 'tetap', 'ada', 'brigadir', 'j', 'bharada', 'e']","['glok', '17', 'dna', 'agus', 'susanto', 'aneh', 'senjata', 'hs', 'dna', 'jelas2', 'bilang', 'nembak', 'dinding', 'pakai', 'senjata', 'hs', 'menunjukan', 'pakai', 'sarung', 'tangan', 'kebenaran']","['glok', '17', 'dna', 'agus', 'susanto', 'aneh', 'senjata', 'hs', 'dna', 'jelas2', 'bilang', 'nembak', 'dinding', 'pakai', 'senjata', 'hs', 'menunjukan', 'pakai', 'sarung', 'tangan', 'kebenaran']","['glok', '17', 'dna', 'agus', 'susanto', 'aneh', 'senjata', 'hs', 'dna', 'jelas2', 'bilang', 'nembak', 'dinding', 'pakai', 'senjata', 'hs', 'tunjuk', 'pakai', 'sarung', 'tangan', 'benar']",glok 17 dna agus susanto aneh senjata hs dna jelas2 bilang nembak dinding pakai senjata hs tunjuk pakai sarung tangan benar
"Dulu gw kagum sama si Febri pas masih jadi jubir KPK, tapi semenjak jadi PH nya Sambo family, gw kecewa sama dia, emang ya idealisme akan kalah dengan materi apalagi jika seseorang tsb sudah berkeluarga banyak kebetuhan, lebih milih jalur pragmatis agar kebutuhan dapur terjaga",negatif,"['dulu', 'gw', 'kagum', 'sama', 'si', 'febri', 'pas', 'masih', 'jadi', 'jubir', 'kpk', 'tapi', 'semenjak', 'jadi', 'ph', 'nya', 'sambo', 'family', 'gw', 'kecewa', 'sama', 'dia', 'emang', 'ya', 'idealisme', 'akan', 'kalah', 'dengan', 'materi', 'apalagi', 'jika', 'seseorang', 'tsb', 'sudah', 'berkeluarga', 'banyak', 'kebetuhan', 'lebih', 'milih', 'jalur', 'pragmatis', 'agar', 'kebutuhan', 'dapur', 'terjaga']","['kagum', 'pas', 'jubir', 'kpk', 'semenjak', 'ph', 'family', 'kecewa', 'emang', 'idealisme', 'kalah', 'materi', 'tsb', 'berkeluarga', 'kebetuhan', 'milih', 'jalur', 'pragmatis', 'kebutuhan', 'dapur', 'terjaga']","['kagum', 'pas', 'jubir', 'kpk', 'semenjak', 'ph', 'family', 'kecewa', 'emang', 'idealisme', 'kalah', 'materi', 'tsb', 'berkeluarga', 'kebetuhan', 'milih', 'jalur', 'pragmatis', 'kebutuhan', 'dapur', 'terjaga']","['kagum', 'pas', 'jubir', 'kpk', 'semenjak', 'ph', 'family', 'kecewa', 'emang', 'idealisme', 'kalah', 'materi', 'tsb', 'keluarga', 'kebetuhan', 'milih', 'jalur', 'pragmatis', 'butuh', 'dapur', 'jaga']",kagum pas jubir kpk semenjak ph family kecewa emang idealisme kalah materi tsb keluarga kebetuhan milih jalur pragmatis butuh dapur jaga
Owh ini yg bela PC dan Sambo ya.....hhhmmmhh,negatif,"['owh', 'ini', 'yg', 'bela', 'pc', 'dan', 'sambo', 'ya', 'hhhmmmhh']","['owh', 'bela', 'pc', 'hhhmmmhh']","['owh', 'bela', 'pc', 'hhhmmmhh']","['owh', 'bela', 'pc', 'hhhmmmhh']",owh bela pc hhhmmmhh
"Sambo adalah bukti, seberapa besar kejahatan, akhirnya Dia bongkar dengan elemen kejujuran. Setiap ketidakjujuran akan dibongkarnya.",positif,"['sambo', 'adalah', 'bukti', 'seberapa', 'besar', 'kejahatan', 'akhirnya', 'dia', 'bongkar', 'dengan', 'elemen', 'kejujuran', 'setiap', 'ketidakjujuran', 'akan', 'dibongkarnya', '']","['bukti', 'kejahatan', 'bongkar', 'elemen', 'kejujuran', 'ketidakjujuran', 'dibongkarnya', '']","['bukti', 'kejahatan', 'bongkar', 'elemen', 'kejujuran', 'ketidakjujuran', 'dibongkarnya', '']","['bukti', 'jahat', 'bongkar', 'elemen', 'jujur', 'ketidakjujuran', 'bongkar', '']",bukti jahat bongkar elemen jujur ketidakjujuran bongkar
